No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
120 ,9.09E-01,3.79E-01,4.11E-02,5.00E-01,6.05E-01,7.54E-01,5.96E+01
121 ,5.46E-01,3.04E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,3.13E+01
122 ,9.09E-01,3.11E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,4.80E+01
123 ,6.36E-01,7.19E-01,6.06E-02,4.00E-01,6.05E-01,7.67E-01,3.25E+01
124 ,8.19E-01,0.00E+00,2.51E-02,0.00E+00,4.73E-01,6.27E-01,4.55E+01
125 ,2.73E-01,2.26E-01,3.96E-02,7.00E-01,5.24E-01,7.75E-01,5.74E+01
126 ,5.46E-01,2.51E-02,2.63E-02,6.00E-01,4.08E-01,7.26E-01,4.86E+01
127 ,4.54E-01,8.81E-01,1.21E-01,4.00E-01,5.61E-01,6.60E-01,6.29E+01
128 ,6.36E-01,8.68E-02,5.58E-02,5.00E-01,5.91E-01,7.59E-01,5.50E+01
129 ,4.54E-01,9.43E-01,1.57E-02,6.00E-01,4.20E-01,7.21E-01,6.07E+01
130 ,8.19E-01,8.79E-01,2.99E-02,7.00E-01,5.91E-01,7.34E-01,4.10E+01
131 ,6.36E-01,6.76E-01,7.92E-02,8.00E-01,5.92E-01,6.79E-01,3.75E+01
132 ,9.09E-01,9.13E-02,3.29E-01,3.00E-01,3.75E-01,4.24E-01,3.07E+01
133 ,5.46E-01,6.07E-01,7.11E-02,5.00E-01,5.12E-01,7.02E-01,3.75E+01
134 ,1.81E-01,4.11E-01,5.41E-02,8.00E-01,6.61E-01,7.26E-01,3.95E+01
135 ,0.00E+00,7.63E-01,2.53E-02,6.00E-01,4.12E-01,7.39E-01,4.22E+01
136 ,2.73E-01,4.32E-01,1.52E-01,0.00E+00,3.82E-01,8.19E-01,2.08E+01
137 ,9.06E-02,2.60E-01,5.68E-02,5.00E-01,5.73E-01,7.43E-01,4.68E+01
138 ,9.09E-01,3.11E-01,4.57E-02,6.00E-01,3.98E-01,7.47E-01,4.74E+01
139 ,5.46E-01,2.28E-01,1.42E-01,0.00E+00,5.62E-01,5.45E-01,4.35E+01
140 ,0.00E+00,2.95E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,4.25E+01
141 ,6.36E-01,3.70E-01,4.11E-02,5.00E-01,6.05E-01,7.54E-01,5.14E+01
142 ,7.27E-01,1.16E-01,2.38E-01,3.00E-01,4.85E-01,4.61E-01,2.89E+01
143 ,8.19E-01,4.52E-01,9.55E-02,5.00E-01,4.62E-01,7.86E-01,3.75E+01
144 ,9.09E-01,3.11E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,4.01E+01
145 ,4.54E-01,2.72E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.84E+01
146 ,2.73E-01,4.79E-02,6.62E-02,5.00E-01,5.28E-01,7.92E-01,4.55E+01
147 ,9.06E-02,0.00E+00,2.51E-02,0.00E+00,4.73E-01,6.27E-01,5.22E+01
148 ,9.06E-02,7.31E-02,7.22E-02,8.00E-01,4.62E-01,7.70E-01,4.32E+01
149 ,9.09E-01,3.74E-01,5.81E-01,0.00E+00,1.04E-02,4.15E-01,4.51E+01
150 ,0.00E+00,7.97E-01,2.41E-02,8.00E-01,5.02E-01,7.43E-01,3.97E+01
151 ,6.36E-01,8.17E-01,2.28E-02,7.00E-01,4.26E-01,7.46E-01,4.85E+01
152 ,9.09E-01,1.12E-01,5.64E-02,9.00E-01,5.95E-01,6.94E-01,4.47E+01
153 ,7.27E-01,2.74E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.89E+01
154 ,6.36E-01,1.48E-01,5.46E-02,6.00E-01,2.68E-01,6.86E-01,4.09E+01
155 ,9.09E-01,3.86E-01,6.25E-01,0.00E+00,1.32E-01,3.22E-01,2.07E+01
156 ,5.46E-01,3.15E-01,6.28E-01,0.00E+00,1.15E-01,3.27E-01,1.56E+01
157 ,1.00E+00,7.01E-01,1.92E-01,0.00E+00,2.03E-01,6.04E-01,1.83E+01
158 ,6.36E-01,3.68E-01,1.23E-01,4.00E-01,5.67E-01,6.59E-01,3.56E+01
159 ,3.64E-01,2.65E-01,5.68E-02,5.00E-01,5.73E-01,7.43E-01,3.94E+01
160 ,0.00E+00,3.54E-01,1.23E-01,4.00E-01,5.67E-01,6.59E-01,3.74E+01
161 ,2.73E-01,7.99E-02,4.06E-03,8.00E-01,3.19E-01,6.90E-01,5.78E+01
162 ,8.19E-01,4.38E-01,9.17E-02,3.00E-01,5.47E-01,6.92E-01,3.96E+01
163 ,9.06E-02,3.65E-01,6.25E-01,0.00E+00,1.32E-01,3.22E-01,1.16E+01
164 ,9.09E-01,1.94E-01,1.26E-02,5.00E-01,4.20E-01,7.24E-01,5.55E+01
165 ,1.81E-01,0.00E+00,2.51E-02,0.00E+00,4.73E-01,6.27E-01,5.52E+01
166 ,2.73E-01,3.13E-01,1.88E-01,1.00E-01,5.44E-01,8.67E-01,3.06E+01
167 ,8.19E-01,0.00E+00,4.17E-02,6.00E-01,5.50E-01,7.66E-01,7.36E+01
168 ,8.19E-01,6.44E-01,4.74E-02,8.00E-01,5.09E-01,7.18E-01,4.34E+01
169 ,4.54E-01,6.30E-01,7.61E-02,5.00E-01,3.75E-01,7.51E-01,3.74E+01
170 ,8.19E-01,1.92E-01,3.00E-01,1.00E-01,2.74E-01,8.76E-01,2.35E+01
171 ,7.27E-01,5.48E-01,6.97E-01,0.00E+00,1.86E-01,2.45E-01,1.44E+01
172 ,4.54E-01,8.22E-02,5.58E-02,5.00E-01,5.91E-01,7.59E-01,5.88E+01
173 ,1.00E+00,1.51E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,5.81E+01
174 ,4.54E-01,9.43E-01,5.85E-02,4.00E-01,6.20E-01,7.66E-01,3.51E+01
175 ,8.19E-01,9.82E-02,6.32E-02,7.00E-01,5.87E-01,6.93E-01,4.52E+01
176 ,4.54E-01,6.89E-01,6.94E-02,3.00E-01,4.60E-01,6.91E-01,3.65E+01
177 ,1.81E-01,3.17E-01,7.04E-01,0.00E+00,2.01E-01,2.32E-01,1.92E+01
178 ,4.54E-01,7.53E-01,2.44E-02,9.00E-01,5.44E-01,7.45E-01,4.20E+01
179 ,9.09E-01,2.99E-01,1.73E-01,4.00E-01,7.23E-01,6.58E-01,3.67E+01
180 ,4.54E-01,3.20E-01,6.43E-02,1.00E-01,5.19E-01,5.80E-01,4.26E+01
181 ,0.00E+00,6.14E-01,6.85E-01,0.00E+00,2.05E-01,2.45E-01,1.55E+01
182 ,5.46E-01,2.65E-01,2.76E-02,8.00E-01,6.40E-01,7.30E-01,5.59E+01
183 ,9.09E-01,3.08E-01,3.29E-01,3.00E-01,3.75E-01,4.24E-01,2.36E+01
184 ,9.09E-01,3.88E-01,6.28E-01,0.00E+00,1.15E-01,3.27E-01,1.88E+01
185 ,9.06E-02,3.22E-01,4.01E-01,0.00E+00,2.77E-01,9.51E-01,2.18E+01
186 ,9.06E-02,7.17E-01,2.20E-01,3.00E-01,4.94E-01,4.72E-01,2.15E+01
187 ,5.46E-01,4.77E-01,3.34E-01,3.00E-01,3.77E-01,4.19E-01,2.57E+01
188 ,3.64E-01,2.03E-01,4.73E-01,0.00E+00,2.74E-01,1.00E+00,2.20E+01
189 ,2.73E-01,7.95E-01,2.58E-02,8.00E-01,5.45E-01,7.50E-01,4.43E+01
190 ,2.73E-01,3.72E-01,6.25E-01,0.00E+00,1.32E-01,3.22E-01,2.05E+01
191 ,9.09E-01,8.06E-01,9.18E-02,8.00E-01,5.74E-01,6.78E-01,4.23E+01
192 ,5.46E-01,3.01E-01,1.12E-01,2.00E-01,5.05E-01,8.19E-01,3.78E+01
193 ,5.46E-01,1.00E+00,5.29E-03,7.00E-01,4.29E-01,7.24E-01,4.27E+01
194 ,8.19E-01,2.21E-01,6.16E-02,5.00E-01,6.11E-01,7.68E-01,4.93E+01
195 ,9.09E-01,3.47E-01,5.80E-01,0.00E+00,1.89E-02,4.10E-01,2.93E+01
196 ,7.27E-01,3.47E-01,6.77E-02,5.00E-01,2.69E-01,7.16E-01,3.46E+01
197 ,3.64E-01,5.21E-01,1.06E-01,2.00E-01,5.93E-01,7.94E-01,3.66E+01
198 ,6.36E-01,7.85E-01,1.60E-02,8.00E-01,4.45E-01,7.26E-01,4.82E+01
199 ,4.54E-01,7.76E-01,2.08E-02,7.00E-01,4.15E-01,7.38E-01,3.91E+01
200 ,8.19E-01,4.16E-01,6.62E-02,8.00E-01,4.53E-01,7.70E-01,3.16E+01
201 ,8.19E-01,3.97E-01,1.50E-01,0.00E+00,3.75E-01,8.15E-01,2.55E+01
202 ,8.19E-01,2.99E-01,8.33E-02,5.00E-01,6.71E-01,7.59E-01,4.59E+01
203 ,2.73E-01,8.74E-01,9.58E-02,3.00E-01,5.27E-01,6.86E-01,3.15E+01
204 ,0.00E+00,3.56E-01,4.11E-02,5.00E-01,6.05E-01,7.54E-01,4.61E+01
205 ,3.64E-01,4.11E-01,2.15E-01,1.00E-01,2.39E-01,8.12E-01,2.66E+01
206 ,4.54E-01,2.92E-01,2.21E-01,3.00E-01,4.95E-01,4.72E-01,2.14E+01
207 ,6.36E-01,5.07E-01,5.51E-02,1.00E+00,6.22E-01,6.91E-01,4.40E+01
208 ,4.54E-01,8.79E-01,9.93E-02,3.00E-01,5.21E-01,6.84E-01,3.42E+01
209 ,9.06E-02,2.63E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.62E+01
210 ,1.81E-01,7.95E-01,2.36E-02,8.00E-01,5.02E-01,7.46E-01,4.09E+01
211 ,9.09E-01,1.19E-01,5.68E-02,5.00E-01,5.73E-01,7.43E-01,5.22E+01
212 ,4.54E-01,0.00E+00,3.88E-02,1.00E-01,5.18E-01,6.15E-01,4.35E+01
213 ,7.27E-01,4.02E-01,2.76E-01,2.00E-01,6.62E-01,5.11E-01,3.11E+01
214 ,4.54E-01,1.42E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,5.80E+01
215 ,1.00E+00,4.13E-01,2.72E-01,3.00E-01,4.27E-01,4.46E-01,2.09E+01
216 ,7.27E-01,4.38E-01,5.57E-02,8.00E-01,4.84E-01,7.68E-01,4.81E+01
217 ,6.36E-01,8.63E-01,8.78E-02,1.00E-01,4.78E-01,6.69E-01,3.97E+01
218 ,2.73E-01,6.39E-01,5.40E-02,6.00E-01,5.61E-01,7.30E-01,4.08E+01
219 ,8.19E-01,3.11E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,4.38E+01
220 ,9.06E-02,6.69E-01,7.83E-02,8.00E-01,5.93E-01,6.80E-01,4.02E+01
221 ,7.27E-01,8.49E-01,2.52E-02,9.00E-01,5.45E-01,7.45E-01,7.83E+01
222 ,7.27E-01,2.05E-01,2.13E-01,0.00E+00,6.50E-01,5.83E-01,3.85E+01
223 ,1.00E+00,6.99E-01,6.31E-02,1.00E+00,5.96E-01,6.89E-01,4.85E+01
224 ,6.36E-01,2.08E-01,2.13E-01,0.00E+00,6.50E-01,5.83E-01,4.23E+01
225 ,7.27E-01,7.88E-01,4.66E-02,6.00E-01,5.58E-01,7.35E-01,4.60E+01
226 ,6.36E-01,2.51E-02,2.63E-02,6.00E-01,4.08E-01,7.26E-01,4.90E+01
227 ,3.64E-01,3.77E-01,6.28E-01,0.00E+00,1.15E-01,3.27E-01,1.28E+01
228 ,2.73E-01,7.40E-01,3.74E-02,8.00E-01,5.88E-01,7.15E-01,4.02E+01
229 ,8.19E-01,2.72E-01,4.87E-01,0.00E+00,8.37E-01,4.77E-01,4.66E+01
230 ,1.00E+00,7.08E-01,1.75E-01,0.00E+00,2.04E-01,6.19E-01,1.90E+01
231 ,9.09E-01,9.13E-02,3.29E-01,3.00E-01,3.75E-01,4.24E-01,3.34E+01
232 ,1.81E-01,3.70E-01,6.27E-01,0.00E+00,1.25E-01,3.24E-01,1.47E+01
233 ,2.73E-01,6.19E-01,6.79E-01,1.00E-01,2.21E-01,2.41E-01,1.74E+01
234 ,7.27E-01,9.06E-01,4.80E-02,9.00E-01,5.83E-01,7.09E-01,3.24E+01
235 ,6.36E-01,1.83E-01,3.39E-01,4.00E-01,3.39E-01,4.32E-01,2.39E+01
236 ,9.06E-02,2.95E-01,3.52E-02,7.00E-01,4.12E-01,7.49E-01,3.93E+01
237 ,5.46E-01,8.22E-02,5.42E-02,1.00E+00,6.20E-01,6.91E-01,6.19E+01
238 ,5.46E-01,2.97E-01,1.10E-01,0.00E+00,5.41E-01,5.57E-01,3.90E+01
239 ,4.54E-01,2.92E-01,1.10E-01,0.00E+00,5.41E-01,5.57E-01,4.06E+01
240 ,9.09E-01,4.13E-01,1.26E-01,0.00E+00,3.79E-01,7.99E-01,2.97E+01
241 ,4.54E-01,2.51E-01,2.61E-01,2.00E-01,3.88E-01,4.65E-01,2.88E+01
242 ,9.09E-01,3.13E-01,3.52E-02,7.00E-01,4.12E-01,7.49E-01,4.14E+01
243 ,1.81E-01,4.57E-02,3.18E-01,3.00E-01,3.82E-01,4.29E-01,3.34E+01
244 ,8.19E-01,7.49E-01,2.80E-02,8.00E-01,6.09E-01,7.08E-01,4.82E+01
245 ,4.54E-01,1.10E-01,2.38E-01,3.00E-01,4.85E-01,4.61E-01,2.17E+01
246 ,8.19E-01,1.71E-01,9.53E-02,5.00E-01,4.91E-01,8.05E-01,4.08E+01
247 ,8.19E-01,3.74E-01,5.67E-02,6.00E-01,3.88E-01,7.46E-01,4.06E+01
248 ,7.27E-01,4.95E-01,1.60E-01,0.00E+00,3.64E-01,8.17E-01,2.31E+01
249 ,3.64E-01,4.34E-01,1.52E-01,0.00E+00,3.82E-01,8.19E-01,2.23E+01
250 ,1.81E-01,4.11E-01,9.72E-01,1.00E-01,3.07E-01,1.76E-02,1.50E+01
251 ,5.46E-01,8.95E-01,6.21E-02,7.00E-01,5.12E-01,7.08E-01,3.00E+01
252 ,2.73E-01,7.24E-01,1.76E-01,0.00E+00,2.12E-01,6.11E-01,1.38E+01
253 ,1.81E-01,1.35E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,5.27E+01
254 ,0.00E+00,6.94E-01,2.65E-01,2.00E-01,3.95E-01,4.60E-01,2.59E+01
255 ,0.00E+00,2.51E-02,4.74E-02,5.00E-01,6.12E-01,7.59E-01,5.18E+01
256 ,8.19E-01,7.19E-01,8.49E-01,1.00E-01,2.29E-01,1.19E-01,1.74E+01
257 ,0.00E+00,3.33E-01,4.89E-02,1.00E-01,5.23E-01,6.25E-01,2.65E+01
258 ,6.36E-01,3.95E-01,6.51E-02,1.00E-01,5.20E-01,5.80E-01,4.39E+01
259 ,8.19E-01,0.00E+00,4.17E-02,6.00E-01,5.50E-01,7.66E-01,6.33E+01
260 ,4.54E-01,4.04E-01,1.26E-01,0.00E+00,3.79E-01,7.99E-01,2.88E+01
261 ,6.36E-01,3.88E-01,2.26E-01,4.00E-01,4.68E-01,4.69E-01,3.07E+01
